Names,Appearances,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed Clearance,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Dele Alli,160,50,0.31,9,31,10,2,0,320,128,40%,7,37,33,"5,543",34.64,44,76,12%,67,167,24,0,178,31,238,65%,82,127,99,57,755,820,"1,079",183,121,184,1
Marcos Alonso,141,20,,4,2,14,,,,,,11,,12,"6,464",45.84,17,428,19%,8,214,26,1,126,16,289,68%,65,215,370,185,834,806,642,90,290,214,1
Rolando Aarons,18,2,0.11,1,0,1,0,0,11,3,27%,1,0,1,197,10.94,1,19,21%,0,8,2,0,11,1,20,70%,2,8,11,6,43,54,67,14,7,12,1
Allan,12,0,12,0,0,0,0,0,4,1,25%,0,0,0,538,44.83,0,2,2%,0,29,4,0,21,0,41,56%,1,13,10,2,103,80,72,20,1,4,0
Miguel Almirón,57,5,0.09,0,2,3,0,0,83,29,35%,2,11,3,"1,296",22.74,4,73,22%,3,37,6,0,41,29,99,60%,28,46,25,8,285,255,245,62,11,39,1
Steven Alzate,26,0,26,0,0,0,0,0,16,4,25%,0,1,0,855,32.88,1,9,,,,2,0,35,3,44,,7,20,13,11,,,,,,,
Alex Telles,3,0,,0,0,0,,,,,,0,,1,181,60.33,1,22,18%,1,7,0,0,3,0,5,60%,0,7,5,5,19,15,16,0,9,5,0
Ajibola Alese,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Ali Koiki,0,0,,0,0,0,,,,,,0,,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold,104,6,,0,6,0,,,,,,4,,27,"5,887",56.61,35,761,22%,12,429,12,0,52,10,171,64%,32,124,192,67,599,286,334,64,32,79,1
Alisson,77,0,,,,,,,,,,,,1,"2,154",27.97,,,,,332,2,1,1,,,,,,,,,,,,,,4
Hakim Ziyech,7,1,0.14,0,0,1,0,0,8,3,38%,0,0,3,235,33.57,4,25,24%,2,11,1,0,6,0,4,50%,2,6,0,0,28,17,25,3,2,4,0
Tammy Abraham,79,23,0.29,3,18,1,0,0,154,63,41%,3,28,5,851,10.77,7,29,,,,2,0,45,37,22,,29,11,47,38,,,,,,,
Che Adams,43,8,0.19,0,7,1,0,0,60,23,38%,2,12,6,519,12.07,12,15,,,,1,0,30,19,15,,18,3,16,7,,,,,,,
Marc Albrighton,264,17,0.06,2,13,2,0,1,224,72,32%,6,13,37,"5,804",21.98,61,"1,620",20%,33,373,32,1,168,18,434,74%,76,266,179,49,"1,267",992,"1,151",295,71,191,0
Kenneth Zohore,19,1,0.05,0,0,1,0,0,17,8,47%,0,2,1,136,7.16,1,7,,,,1,0,13,4,3,,4,2,5,5,,,,,,,
Ezgjan Alioski,11,1,0.09,0,0,1,0,0,8,4,50%,0,1,0,388,35.27,3,23,22%,0,5,1,0,9,3,22,55%,1,8,7,5,43,47,38,3,10,10,0
Richairo Zivkovic,5,0,5,0,0,0,0,0,1,0,1%,0,0,0,18,3.6,0,1,,,,0,0,1,0,2,,1,0,0,0,,,,,,,
Toby Alderweireld,184,8,,5,2,1,,,,,,3,,4,"10,369",56.35,5,57,28%,24,"1,108",20,0,69,3,241,73%,27,185,"1,023",494,852,587,461,26,298,281,1
Kurt Zouma,153,8,,7,1,0,,,,,,3,,4,"6,584",43.03,2,20,10%,0,437,11,1,96,6,166,69%,14,234,700,381,613,730,358,52,454,183,2
